Seriation_Number	Assemblage	Parkin_Punctated	Barton/Kent/MPI	Painted	Fortune_Noded	Ranch_Incised	Walls_Engraved	Wallace_Incised	Rhodes_Incised	Vernon_Paul_Applique	Hull_Engraved
147	12-O-5	204	156	42	7	8	4	2	1	0	0
147	11-N-1	865	323	59	17	35	0	0	0	4	0

148	13-N-4	71	67	96	0	3	4	0	0	0	0
148	12-O-5	204	156	42	7	8	4	2	1	0	0
148	13-O-5	923	637	42	12	33	27	14	13	5	2

149	13-N-4	71	67	96	0	3	4	0	0	0	0
149	11-N-4	764	470	18	5	9	0	0	0	0	0
149	11-N-9	528	198	13	0	19	0	0	0	0	0

150	13-N-4	71	67	96	0	3	4	0	0	0	0
150	11-N-4	764	470	18	5	9	0	0	0	0	0
150	13-O-10	60	74	79	0	2	8	0	2	0	0

151	13-N-4	71	67	96	0	3	4	0	0	0	0
151	11-N-4	764	470	18	5	9	0	0	0	0	0
151	10-P-1	39	62	46	0	0	0	0	0	0	6

152	13-N-4	71	67	96	0	3	4	0	0	0	0
152	11-N-4	764	470	18	5	9	0	0	0	0	0
152	11-O-10	404	208	6	16	4	0	0	0	0	0

153	13-N-4	71	67	96	0	3	4	0	0	0	0
153	11-N-4	764	470	18	5	9	0	0	0	0	0
153	12-N-3	549	328	77	19	4	0	3	1	2	0

154	13-N-4	71	67	96	0	3	4	0	0	0	0
154	11-N-4	764	470	18	5	9	0	0	0	0	0
154	11-N-1	865	323	59	17	35	0	0	0	4	0

155	13-N-4	71	67	96	0	3	4	0	0	0	0
155	11-N-4	764	470	18	5	9	0	0	0	0	0
155	13-O-5	923	637	42	12	33	27	14	13	5	2

156	13-N-4	71	67	96	0	3	4	0	0	0	0
156	11-N-4	764	470	18	5	9	0	0	0	0	0
156	12-O-5	204	156	42	7	8	4	2	1	0	0

157	13-N-4	71	67	96	0	3	4	0	0	0	0
157	13-N-5	35	11	33	0	0	0	0	0	0	0
157	11-N-9	528	198	13	0	19	0	0	0	0	0

